orig,dest,wt
11,19,6.534715
12,82,0.00405
12,83,0.024895
12,85,0.000552
12,21,0.019089
12,88,0.01207
12,31,0.000523
12,42,0.000349
12,55,0.000157
12,114,0.00043
12,115,0.000409
12,127,0.000487
12,18,2.381097
12,128,3.174796
12,19,2.381097
13,128,72
14,98,0.000424
14,42,0.016419
14,47,0.000289
14,49,0.005187
14,55,0.000181
14,18,21.95325
14,128,29.271
14,19,21.95325
15,71,0.6006482
15,74,0.04620526
15,82,0.1775115
15,83,0.3637164
15,84,1.87609
15,85,0.04840712
15,21,0.1202118
15,86,0.06717901
15,88,0.02204269
15,31,0.007308566
15,98,0.002048878
15,41,5.81965E-05
15,42,0.002904827
15,47,0.001046938
15,49,0.007516554
15,55,0.001309922
15,114,0.002469853
15,115,0.00235286
15,124,0.00066796
15,127,0.001398917
15,18,33.79467
15,128,45.05956
15,19,33.79467
56,58,12.90289
56,59,1.349704
56,60,0.238394
56,61,1.162194
56,62,0.5519566
56,63,1.817246
56,64,1.090109
56,68,0.03004161
56,72,0.2252212
56,18,25.11544
58,59,4.588644
58,60,0.4007046
58,61,1.95347
58,62,0.9277542
58,63,3.295022
58,64,1.832305
58,68,0.03281777
58,72,0.0828484
58,78,0.1163758
58,18,48.92028
59,60,0.03377511
59,61,0.1646585
59,62,0.07820085
59,64,0.1544445
59,68,0.001976271
59,72,0.004988492
59,78,0.007006201
59,18,5.458323
60,16,0.07303697
60,69,0.001980442
60,70,0.00191728
60,71,0.000287286
60,21,0.01155462
60,90,0.000448248
60,91,1.39568E-05
60,92,0.01094235
60,31,0.000136512
60,32,0.00021088
60,95,5.32804E-05
60,96,0.001178689
60,97,0.000497148
60,99,0.000954565
60,100,0.000234312
60,101,0.000475754
60,102,0.001289733
60,35,1.65037E-05
60,36,1.43643E-05
60,39,0.000126325
60,40,0.001115527
60,43,0.000293399
60,44,0.000123268
60,104,0.000510392
60,105,5.21598E-05
60,51,7.0701E-05
60,54,6.08191E-06
60,18,0.9484801
61,16,0.3447542
61,69,0.00726408
61,70,0.009040803
61,71,0.001353839
61,21,0.05448313
61,90,0.002117465
61,91,6.57144E-05
61,92,0.05163044
61,31,1.12566E-05
61,32,0.000965434
61,95,0.0002515
61,96,0.005562401
61,97,0.002343611
61,99,0.004502655
61,100,0.001104367
61,101,0.001532322
61,102,0.000379278
61,35,5.29366E-05
61,36,6.77426E-05
61,39,0.000594269
61,40,0.005260196
61,43,0.001384262
61,44,0.000580072
61,104,0.0024075
61,105,0.000246429
61,51,0.000333643
61,54,1.95724E-05
61,18,4.66609
62,16,0.0061082
62,69,0.000164538
62,70,0.000159459
62,71,2.38681E-05
62,21,0.000959802
62,90,3.72749E-05
62,91,1.15786E-06
62,92,0.000910035
62,31,0.000471268
62,32,0.000462127
62,95,4.42829E-06
62,96,9.80115E-05
62,97,4.13375E-05
62,99,7.93233E-05
62,100,1.95007E-05
62,101,2.70167E-05
62,102,6.68307E-06
62,35,9.33395E-07
62,36,1.18833E-06
62,39,1.04613E-05
62,40,9.27301E-05
62,43,2.43759E-05
62,44,1.02582E-05
62,104,4.24547E-05
62,105,4.33688E-06
62,51,5.88069E-06
62,54,3.45326E-07
62,18,2.449087
63,16,0.2683339
63,69,0.006469587
63,70,0.000116298
63,71,0.001055292
63,21,0.04245828
63,90,0.001649702
63,91,5.12571E-05
63,92,0.04023571
63,31,0.000445807
63,32,0.000891614
63,95,0.000195983
63,96,0.004335312
63,97,0.001826302
63,99,0.004048876
63,100,0.000430732
63,101,0.001194203
63,102,0.000147526
63,35,4.12425E-05
63,36,5.27646E-05
63,39,0.000463036
63,40,0.002141812
63,43,0.001077906
63,44,0.000451191
63,104,0.001876912
63,105,0.000191676
63,51,0.000260593
63,54,1.5291E-05
63,18,8.003636
16,70,0.005769383
16,90,6.66981E-05
16,91,5.00236E-05
16,92,0.02095257
16,31,6.48222E-06
16,32,1.5945E-05
16,95,3.13689E-06
16,96,0.01477675
16,97,1.94883E-05
16,33,1.61534E-05
16,99,0.001567405
16,51,1.25059E-05
16,54,3.39743E-08
16,18,0.3916948
64,16,0.2388208
64,69,0.002148907
64,70,0.004321358
64,71,0.000841156
64,78,0.009239872
64,21,0.000338175
64,90,0.001195383
64,91,4.08806E-05
64,92,0.0320795
64,31,0.000398104
64,32,0.000757682
64,95,0.000156245
64,96,0.003456658
64,97,0.000647455
64,99,0.002152117
64,100,0.000343526
64,101,0.001068032
64,102,0.000117719
64,51,0.000207614
64,18,4.625324
65,66,4.149095
65,67,10.66494
65,73,0.003924961
65,76,0.001181676
65,77,0.01426687
65,78,0.008346525
65,79,0.03778473
65,80,0.08251093
65,81,0.2320643
65,49,0.002304518
65,128,34.34194
66,67,1.122645
66,73,0.000254727
66,76,0.392813
66,77,0.000927793
66,78,0.000617222
66,79,0.002456153
66,80,0.005363955
66,81,0.01597332
66,49,0.000149897
66,128,4.050062
67,71,0.0264936
67,73,0.004339416
67,77,0.63099
67,79,0.3446744
67,85,0.01668855
67,21,0.3078131
67,22,0.04410568
67,87,0.001787062
67,91,1.47888E-05
67,40,0.005415997
67,43,0.003889548
67,47,0.00108382
67,49,0.007781165
67,51,0.002669217
67,55,0.007218571
67,128,27.52173
68,71,0.1542531
68,90,0.002052329
68,39,0.001683416
68,41,9.34443E-06
68,42,0.006519819
68,47,0.000471276
68,52,0.005229638
68,55,0.000593909
68,123,0.000108444
68,125,8.09783E-06
68,127,7.72284E-05
68,18,0.07693244
69,46,0.000373443
69,47,1.40565E-05
69,52,0.0001563
69,128,0.007970271
70,71,0.050074
70,39,4.39145E-05
70,42,0.00401979
70,46,0.004077928
70,52,0.001708826
70,123,5.2739E-05
70,125,6.00062E-08
70,128,0.01329375
71,77,0.05003602
71,22,0.005877969
71,29,0.003814868
71,47,0.000129386
71,52,0.01799781
71,53,0.00241487
71,55,0.002379491
71,107,8.46064E-06
71,123,0.000128375
71,125,1.45559E-07
71,127,0.000145559
71,128,0.2448328
72,71,0.06405088
72,75,0.0125534
72,77,0.0379689
72,85,0.063504
72,88,0.02478584
72,89,0.00124706
72,23,0.007697021
72,17,0.000333231
72,24,0.000242257
72,25,0.03032401
72,27,0.000892364
72,90,0.002281507
72,91,2.52479E-05
72,29,0.000305632
72,95,0.001328835
72,96,0.008909328
72,97,0.008260244
72,36,0.000716549
72,39,0.002504343
72,40,0.003877132
72,41,0.000267811
72,42,0.000386384
72,43,0.0016406
72,45,4.11939E-05
72,47,4.56915E-05
72,52,0.000113462
72,53,0.02308697
72,55,1.36972E-05
72,107,1.04262E-05
72,110,0.000513135
72,111,0.000331187
72,112,0.000253501
72,113,0.00017786
72,114,0.000310743
72,115,0.001310436
72,116,2.1568E-05
72,118,0.000535623
72,119,0.000181948
72,120,0.000426249
72,123,0.000421139
72,125,4.79403E-07
72,126,6.87928E-05
72,127,0.000178882
72,128,0.3838443
73,71,0.003712812
73,75,0.0213942
73,85,0.03339564
73,22,0.006017279
73,17,1.93505E-05
73,24,1.52114E-05
73,25,0.00176224
73,27,5.18428E-05
73,90,0.004552023
73,91,4.71862E-05
73,29,0.000124174
73,95,0.000154183
73,96,0.0126844
73,97,0.001055481
73,101,0.000375627
73,36,4.15984E-05
73,39,0.000352862
73,40,0.000225583
73,41,1.55218E-05
73,42,0.000299053
73,45,2.39036E-05
73,52,0.000735733
73,53,0.009097837
73,55,8.84742E-05
73,110,0.000328027
73,111,0.000211096
73,112,0.000162461
73,113,0.000113826
73,114,0.000198679
73,115,0.000838177
73,116,1.37627E-05
73,118,0.000342514
73,119,0.000115896
73,120,0.000272149
73,123,8.07133E-05
73,125,9.17855E-08
73,127,1.14861E-05
73,128,0.07500438
74,17,2.45665E-06
74,24,1.7606E-06
74,25,0.000223146
74,27,6.58178E-06
74,90,0.000525109
74,91,5.98809E-06
74,29,4.26843E-05
74,96,0.001610131
74,39,4.47315E-05
74,40,2.85586E-05
74,41,1.97556E-06
74,42,3.78734E-05
74,45,1.51494E-05
74,52,9.30457E-05
74,53,0.001282577
74,55,1.12597E-05
74,112,2.28264E-05
74,114,2.79444E-05
74,115,0.000117715
74,118,4.83142E-05
74,119,1.63777E-05
74,120,3.83852E-05
74,123,1.1362E-05
74,128,0.01442976
75,17,2.4719E-06
75,24,2.07076E-06
75,25,0.000225507
75,27,6.63511E-06
75,90,0.000583282
75,91,6.04966E-06
75,29,4.30415E-05
75,36,5.32326E-06
75,39,4.52098E-05
75,40,2.88389E-05
75,41,1.99487E-06
75,42,3.82711E-05
75,45,1.52868E-05
75,52,0.000770843
75,53,0.00116548
75,55,1.13838E-05
75,114,2.53695E-05
75,115,0.000107333
75,118,4.39088E-05
75,119,1.48531E-05
75,120,3.49102E-05
75,123,1.03321E-05
75,128,0.0111344
76,77,0.1228382
76,85,0.0812204
76,88,0.01168215
76,25,0.009535977
76,27,0.000280855
76,29,0.001940817
76,93,2.60722E-05
76,96,0.002846801
76,36,0.000225489
76,39,0.005510391
76,40,0.007224713
76,41,0.000113751
76,42,0.00802198
76,43,0.002273011
76,47,1.43951E-05
76,104,0.008007885
76,105,0.000818405
76,51,0.000721767
76,52,0.00398532
76,53,0.00109322
76,55,0.000479164
76,110,0.000355347
76,111,0.000228509
76,112,0.000175157
76,113,0.000122811
76,114,5.36543E-05
76,115,0.000452992
76,116,7.4794E-06
76,118,0.000370447
76,119,0.000209383
76,120,0.000491244
76,123,0.000145964
76,125,1.66097E-07
76,127,6.19089E-05
76,128,0.6525033
77,85,0.1632525
77,88,0.009600743
77,25,0.007836944
77,27,0.000230949
77,29,0.001143505
77,93,2.14599E-05
77,96,0.002339127
77,36,0.000184964
77,39,0.004528035
77,40,0.005937234
77,41,9.3095E-05
77,42,0.006592271
77,43,0.001868032
77,47,1.1854E-05
77,104,0.006581031
77,105,0.000673432
77,51,0.000614161
77,52,0.003275187
77,53,0.000998396
77,55,0.000393431
77,107,1.64526E-05
77,110,0.000323942
77,111,0.000209489
77,112,0.000160438
77,113,0.000112409
77,114,4.90512E-05
77,115,0.000413869
77,116,6.82629E-06
77,118,0.000338249
77,119,0.000191095
77,120,0.000448614
77,123,0.000132847
77,125,1.51241E-07
77,127,5.6511E-05
77,128,0.2607355
78,77,0.1407042
78,88,0.01283639
78,25,0.00493214
78,27,0.000145299
78,29,0.00104114
78,93,1.35278E-05
78,96,0.001472026
78,97,0.001102266
78,36,0.000116239
78,39,0.002849858
78,40,0.003735679
78,41,5.85203E-05
78,42,0.004148528
78,43,0.001175416
78,47,7.42526E-06
78,104,0.004141514
78,105,0.000423871
78,51,0.000371764
78,52,0.00204821
78,53,0.000628292
78,55,0.000246507
78,107,8.48745E-06
78,110,0.000167344
78,111,0.00010722
78,112,8.24695E-05
78,113,5.77187E-05
78,114,2.52519E-05
78,115,0.000213439
78,116,3.51723E-06
78,118,0.000174358
78,119,9.85025E-05
78,120,0.000231476
78,123,6.84407E-05
78,125,7.78601E-08
78,127,2.91599E-05
78,128,0.1418817
79,77,0.06249325
79,21,0.004827263
79,22,0.006916722
79,25,0.002253338
79,27,6.62686E-05
79,90,0.003479358
79,91,2.34552E-07
79,29,0.007330517
79,95,0.000197679
79,96,0.01203077
79,97,0.000221237
79,36,5.32607E-05
79,39,0.000245819
79,40,8.48074E-05
79,42,0.02801923
79,43,0.000121885
79,46,0.002247192
79,47,1.70025E-05
79,49,0.000121885
79,51,0.000208946
79,53,0.002676351
79,55,0.000113691
79,110,0.00041994
79,111,0.000270401
79,112,0.000206897
79,113,0.000145443
79,118,0.000438377
79,119,0.000148515
79,120,0.000348243
79,127,1.46467E-05
79,128,0.217231
80,70,0.000792504
80,71,9.36976E-05
80,77,0.01596837
80,21,0.0006585
80,22,0.001038525
80,88,0.02456552
80,25,0.005983035
80,27,9.01381E-06
80,90,0.000375837
80,91,3.78978E-06
80,29,0.004190742
80,95,2.69053E-05
80,96,0.008519675
80,97,3.0046E-05
80,33,6.44891E-07
80,100,5.91499E-05
80,101,0.000918132
80,102,2.03099E-05
80,36,7.25502E-06
80,39,0.002817209
80,40,0.000321398
80,41,6.89907E-06
80,42,0.002701003
80,43,1.82161E-05
80,45,0.000879396
80,46,0.000306742
80,49,1.73786E-05
80,103,0.000288945
80,104,0.01659651
80,105,0.000316164
80,51,5.96733E-05
80,53,0.003074746
80,55,1.61223E-05
80,128,0.03047736
81,70,0.006559315
81,71,0.000776114
81,77,0.01595427
81,85,0.1021155
81,22,0.00754044
81,88,0.0215743
81,17,0.001421481
81,90,0.001712263
81,91,1.67356E-05
81,92,0.005023823
81,93,3.00195E-05
81,32,0.002057435
81,95,0.000290781
81,96,0.002501974
81,97,0.001808492
81,33,6.9662E-06
81,99,0.000244758
81,100,0.003606525
81,101,0.002894216
81,102,0.001238436
81,39,0.000597252
81,40,0.0023524
81,41,5.0416E-05
81,42,0.01575449
81,43,0.000960206
81,44,0.000342034
81,45,0.000110873
81,46,0.002449675
81,49,0.000132839
81,103,0.002209101
81,104,0.02138079
81,105,0.00218609
81,51,0.000456046
81,53,0.00138801
81,55,0.000123425
81,127,1.44345E-05
81,128,0.134341
82,70,0.007255004
82,71,0.000857961
82,77,0.04352584
82,85,0.07597665
82,22,0.008340011
82,88,0.02385865
82,90,0.001893793
82,91,1.85194E-05
82,92,0.005555823
82,93,3.32722E-05
82,32,0.004501158
82,95,0.00047711
82,96,0.004104612
82,97,0.003626456
82,33,1.14046E-05
82,99,0.00027099
82,100,0.005244027
82,101,0.004208195
82,102,0.001800672
82,39,0.000661258
82,40,0.002602134
82,41,5.57675E-05
82,42,0.01742603
82,43,0.001061989
82,44,0.000378759
82,45,0.000123463
82,46,0.002709902
82,49,0.000147528
82,103,0.002443097
82,104,0.02364834
82,105,0.002417986
82,51,0.000504314
82,53,0.00153596
82,55,0.000136018
82,127,1.94611E-05
82,128,0.1485916
83,70,0.01622049
83,71,0.00182673
83,77,0.0610384
83,22,0.0177601
83,27,0.000170068
83,90,0.003774509
83,91,3.84154E-06
83,92,0.01183173
83,95,0.000507203
83,97,0.000594238
83,33,1.21048E-05
83,99,0.000634254
83,100,5.38215E-05
83,101,0.000929372
83,102,1.85074E-05
83,36,0.000137055
83,37,0.00172569
83,39,0.002036814
83,40,0.005540215
83,41,0.000119048
83,42,0.000677271
83,43,0.002261905
83,45,0.000131052
83,46,0.005770307
83,49,0.000313125
83,103,0.00260104
83,51,0.000537215
83,55,0.000291116
83,127,3.73149E-05
83,128,0.1455532
84,70,0.02562061
84,85,0.1720592
84,89,0.000225437
84,23,0.001390195
84,27,0.000245747
84,90,0.002114233
84,91,0.000118811
84,92,0.01345311
84,28,0.001711087
84,29,0.000130997
84,93,0.000944398
84,30,0.004503662
84,94,0.001671483
84,32,0.005688729
84,95,0.000731147
84,96,0.02067623
84,97,0.000857067
84,33,3.82837E-05
84,99,0.000130997
84,100,0.000320892
84,101,0.001976128
84,102,0.000110688
84,34,2.37623E-05
84,35,0.000205127
84,36,0.000197004
84,37,0.00119116
84,38,0.000923073
84,39,0.000462044
84,40,0.002197503
84,41,7.29116E-05
84,42,6.8545E-05
84,43,0.007375445
84,44,0.002101032
84,45,0.000283319
84,46,0.004160429
84,103,0.000688497
84,51,0.000844881
84,53,0.001535409
84,54,7.59581E-05
84,55,0.000419394
84,106,1.1678E-06
84,107,1.574E-05
84,108,0.001877626
84,109,0.000332063
84,110,0.001544548
84,111,0.000995172
84,112,0.000762627
84,113,0.000534144
84,114,0.000467122
84,115,0.001972066
84,116,3.24954E-05
84,118,0.00161157
84,119,0.000546329
84,120,0.001281538
84,121,6.23506E-06
84,122,0.000413301
84,123,0.000759581
84,125,8.64175E-07
84,126,2.07158E-05
84,127,5.38205E-05
84,18,0.8107354
85,70,0.0118653
85,89,0.001559403
85,23,0.009623526
85,24,2.08713E-06
85,25,0.004254293
85,27,0.000125444
85,90,0.002155263
85,91,0.000121119
85,92,0.006859426
85,28,0.003805505
85,29,0.000290901
85,93,0.00048123
85,30,0.002295848
85,94,0.000852156
85,32,0.001897886
85,95,7.45096E-05
85,96,0.002107681
85,97,0.000509347
85,33,1.95736E-05
85,99,6.69397E-05
85,100,0.000163294
85,101,0.00050394
85,102,5.62337E-05
85,34,1.21119E-05
85,35,0.000104789
85,36,0.000100464
85,37,0.001268502
85,38,0.000983008
85,39,0.00025954
85,40,0.003664921
85,41,5.61255E-05
85,42,3.49298E-05
85,43,0.003760086
85,44,0.002875487
85,45,0.000192492
85,46,0.002827904
85,103,0.000468253
85,51,0.000574232
85,53,0.004535461
85,54,3.87147E-05
85,55,0.000214121
85,106,5.92616E-07
85,107,8.00248E-06
85,108,0.000957054
85,109,0.000168701
85,110,0.000787271
85,111,0.000507184
85,112,0.000388229
85,113,0.000272517
85,114,0.000237912
85,115,0.001004636
85,116,1.65457E-05
85,118,0.000821877
85,119,0.000279006
85,120,0.000653176
85,121,3.17937E-06
85,122,0.000210876
85,123,0.000387147
85,125,4.41218E-07
85,126,1.05546E-05
85,127,2.7468E-05
85,128,0.2590306
21,24,7.60949E-05
21,25,0.005994746
21,27,0.000176613
21,90,0.000758931
21,91,4.27908E-05
21,92,0.002416064
21,28,0.002566438
21,29,0.000196797
21,93,0.000678194
21,30,0.003235549
21,94,0.001200968
21,96,0.002971133
21,33,2.75516E-05
21,99,2.36157E-05
21,100,0.000231111
21,101,0.000709479
21,102,7.92235E-05
21,34,1.70558E-05
21,35,0.000147346
21,36,0.00014129
21,37,0.001787323
21,38,0.001384645
21,39,0.000332032
21,40,0.001578415
21,41,5.23783E-05
21,42,4.92498E-05
21,43,0.005297378
21,44,0.002316152
21,45,0.000407724
21,46,0.00597759
21,103,0.000989032
21,51,0.001213078
21,54,5.45986E-05
21,55,0.000300747
21,106,8.35631E-07
21,107,9.24442E-06
21,108,0.001106101
21,109,0.000195788
21,110,0.000910313
21,111,0.000586355
21,112,0.000449101
21,113,0.000314876
21,114,0.000274507
21,115,0.001161608
21,116,1.91751E-05
21,118,0.000949673
21,119,0.00032194
21,120,0.000754894
21,121,3.67355E-06
21,122,0.000243221
21,123,0.000447083
21,125,5.09654E-07
21,126,1.22115E-05
21,127,3.16894E-05
21,128,0.2474952
86,70,0.000238321
86,27,2.62558E-06
86,90,0.000909863
86,91,5.12997E-05
86,92,0.001448105
86,28,3.84748E-05
86,30,4.84722E-05
86,94,1.79751E-05
86,95,7.82623E-06
86,96,0.000221154
86,97,5.35213E-05
86,33,4.09994E-07
86,99,1.41377E-05
86,100,1.69653E-05
86,101,2.09036E-05
86,102,5.83685E-06
86,37,2.66597E-05
86,38,2.06007E-05
86,39,4.9482E-06
86,40,2.35292E-05
86,43,7.89692E-05
86,44,1.91869E-05
86,45,6.06912E-06
86,46,8.90676E-05
86,103,1.47436E-05
86,51,1.80761E-05
86,18,0.02198313
22,17,9.33999E-05
22,24,6.86433E-06
22,25,0.000642444
22,26,7.12008E-05
22,27,1.89255E-05
22,29,0.000155496
22,34,1.54473E-06
22,43,0.001643961
22,46,0.000291555
22,53,0.002199451
22,106,8.95125E-08
22,107,1.20714E-06
22,112,5.87202E-05
22,113,4.11246E-05
22,118,0.000123783
22,119,4.20453E-05
22,120,9.87195E-05
22,122,3.18153E-05
22,123,5.85156E-05
22,125,6.6495E-08
22,128,0.03276465
87,89,0.000466049
87,23,0.002874311
87,24,5.74862E-06
87,25,0.000184777
87,26,2.60741E-05
87,27,5.4304E-06
87,28,7.11392E-05
87,29,0.000203255
87,93,0.004327891
87,30,8.15073E-05
87,94,3.32599E-05
87,96,0.000690861
87,97,7.76064E-06
87,33,2.53555E-06
87,34,3.63395E-07
87,36,3.92138E-06
87,42,0.000568703
87,46,0.000165273
87,103,5.6665E-05
87,52,6.94967E-05
87,53,0.000633375
87,112,2.51502E-05
87,114,1.53981E-05
87,115,6.50826E-05
87,118,5.31748E-05
87,119,1.80671E-05
87,120,4.22934E-05
87,122,1.3653E-05
87,123,2.50476E-05
87,125,2.85378E-08
87,128,0.01330601
88,85,0.0246967
88,89,0.007459518
88,23,0.04603454
88,17,1.90799E-05
88,24,4.16288E-05
88,25,0.002957891
88,26,0.000417309
88,27,8.70328E-05
88,28,0.00126723
88,29,0.002295707
88,93,0.004779152
88,30,0.001524349
88,94,0.000592803
88,96,0.01228662
88,97,6.08107E-05
88,33,4.50979E-05
88,34,8.40739E-06
88,36,6.98915E-05
88,40,0.000542807
88,41,2.5814E-05
88,42,0.000336704
88,43,0.003825158
88,46,0.001343754
88,103,0.001011131
88,51,0.002635472
88,52,0.001236621
88,53,0.01014396
88,55,0.000148966
88,106,4.12207E-07
88,107,5.56071E-06
88,110,0.000547909
88,111,0.000353029
88,112,0.000270383
88,113,0.000188758
88,114,0.000165291
88,115,0.000698915
88,116,1.15296E-05
88,118,0.000571376
88,119,0.00019386
88,120,0.00045404
88,121,2.21408E-06
88,122,0.000146925
88,123,0.000269363
88,125,3.06094E-07
88,127,1.90799E-05
88,128,0.1349488
89,24,0.000439014
89,25,8.17438E-05
89,26,1.15866E-05
89,28,3.47597E-05
89,29,9.98145E-05
89,93,0.000130748
89,30,4.18817E-05
89,94,1.62637E-05
89,33,1.2437E-06
89,34,1.9559E-07
89,36,1.91338E-06
89,46,3.68857E-05
89,52,3.39093E-05
89,53,0.000278503
89,119,5.31494E-06
89,128,0.0028892
23,24,0.00021143
23,25,0.000498732
23,26,8.96301E-05
23,27,1.46686E-05
23,28,0.000213453
23,29,0.000608999
23,93,0.000806266
23,30,0.000256953
23,94,9.98475E-05
23,33,7.60743E-06
23,34,1.20384E-06
23,36,1.17349E-05
23,46,0.000226604
23,52,0.000208395
23,53,0.001710661
23,106,6.94988E-08
23,107,2.14465E-06
23,112,0.000104198
23,113,7.30394E-05
23,114,6.38336E-05
23,115,0.000270104
23,116,4.45116E-06
23,118,0.000220535
23,119,7.48604E-05
23,120,0.000175011
23,121,8.52801E-07
23,122,5.66511E-05
23,123,0.000104198
23,125,1.1836E-07
23,128,0.01315721
17,24,1.53788E-05
17,26,2.68587E-06
17,29,2.32847E-05
17,34,4.79774E-08
17,46,9.05397E-06
17,53,3.16239E-06
17,128,0.000598905
24,18,0.000746959
25,117,0.000120559
25,18,0.05674864
26,50,6.34503E-05
26,117,8.07357E-06
26,122,9.15918E-05
26,18,0.000499592
